"Title","Canadian trade balances"
"Products","Hs 86 - rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"HS 86 - Rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Malaysia","Total Exports","10414434"
"","Total Imports","152166"
"","Trade Balance","10262268"
"Chile","Total Exports","6111149"
"","Total Imports",""
"","Trade Balance","6111149"
"Türkiye","Total Exports","5382446"
"","Total Imports","261264"
"","Trade Balance","5121182"
"Egypt","Total Exports","4594160"
"","Total Imports",""
"","Trade Balance","4594160"
"Gabon","Total Exports","1273979"
"","Total Imports",""
"","Trade Balance","1273979"
"Bangladesh","Total Exports","1123060"
"","Total Imports",""
"","Trade Balance","1123060"
"Benin","Total Exports","641219"
"","Total Imports",""
"","Trade Balance","641219"
"Cuba","Total Exports","549206"
"","Total Imports",""
"","Trade Balance","549206"
"Mozambique","Total Exports","426065"
"","Total Imports",""
"","Trade Balance","426065"
"Norway","Total Exports","406351"
"","Total Imports","6570"
"","Trade Balance","399781"
"Peru","Total Exports","385221"
"","Total Imports","882"
"","Trade Balance","384339"
"Jamaica","Total Exports","330270"
"","Total Imports",""
"","Trade Balance","330270"
"Bahamas","Total Exports","216096"
"","Total Imports",""
"","Trade Balance","216096"
"Sudan","Total Exports","203964"
"","Total Imports",""
"","Trade Balance","203964"
"New Zealand","Total Exports","154343"
"","Total Imports",""
"","Trade Balance","154343"
"Bolivia","Total Exports","150982"
"","Total Imports",""
"","Trade Balance","150982"
"Sri Lanka","Total Exports","131387"
"","Total Imports",""
"","Trade Balance","131387"
"Morocco","Total Exports","122247"
"","Total Imports",""
"","Trade Balance","122247"
"Tunisia","Total Exports","105747"
"","Total Imports",""
"","Trade Balance","105747"
"Côte-d'Ivoire","Total Exports","96254"
"","Total Imports",""
"","Trade Balance","96254"
"Iraq","Total Exports","96154"
"","Total Imports",""
"","Trade Balance","96154"
"Saudi Arabia","Total Exports","95996"
"","Total Imports",""
"","Trade Balance","95996"
"Nigeria","Total Exports","89314"
"","Total Imports",""
"","Trade Balance","89314"
"Lithuania","Total Exports","86625"
"","Total Imports",""
"","Trade Balance","86625"
"Pakistan","Total Exports","63812"
"","Total Imports","207"
"","Trade Balance","63605"
"Georgia","Total Exports","58509"
"","Total Imports",""
"","Trade Balance","58509"
"Thailand","Total Exports","180084"
"","Total Imports","127543"
"","Trade Balance","52541"
"Guinea","Total Exports","52272"
"","Total Imports",""
"","Trade Balance","52272"
"Mali","Total Exports","51697"
"","Total Imports",""
"","Trade Balance","51697"
"Malawi","Total Exports","42376"
"","Total Imports",""
"","Trade Balance","42376"
"Ghana","Total Exports","42492"
"","Total Imports","4166"
"","Trade Balance","38326"
"Namibia","Total Exports","37468"
"","Total Imports",""
"","Trade Balance","37468"
"Senegal","Total Exports","37421"
"","Total Imports",""
"","Trade Balance","37421"
"Panama","Total Exports","27760"
"","Total Imports",""
"","Trade Balance","27760"
"Haiti","Total Exports","25616"
"","Total Imports","100"
"","Trade Balance","25516"
"Colombia","Total Exports","25000"
"","Total Imports",""
"","Trade Balance","25000"
"Tajikistan","Total Exports","24209"
"","Total Imports",""
"","Trade Balance","24209"
"Suriname","Total Exports","18762"
"","Total Imports",""
"","Trade Balance","18762"
"Tanzania","Total Exports","17161"
"","Total Imports",""
"","Trade Balance","17161"
"Kenya","Total Exports","16644"
"","Total Imports","998"
"","Trade Balance","15646"
"Guyana","Total Exports","13628"
"","Total Imports",""
"","Trade Balance","13628"
"Costa Rica","Total Exports","10992"
"","Total Imports",""
"","Trade Balance","10992"
"Aruba","Total Exports","10850"
"","Total Imports",""
"","Trade Balance","10850"
"Cameroon","Total Exports","8530"
"","Total Imports",""
"","Trade Balance","8530"
"Uganda","Total Exports","7930"
"","Total Imports",""
"","Trade Balance","7930"
"Congo (formerly Zaire)","Total Exports","7261"
"","Total Imports",""
"","Trade Balance","7261"
"Dominican Republic","Total Exports","6809"
"","Total Imports",""
"","Trade Balance","6809"
"Greece","Total Exports","5528"
"","Total Imports",""
"","Trade Balance","5528"
"Kazakhstan","Total Exports","5227"
"","Total Imports",""
"","Trade Balance","5227"
"Saint Pierre-Miquelon","Total Exports","5060"
"","Total Imports",""
"","Trade Balance","5060"
"Burkina Faso","Total Exports","4033"
"","Total Imports",""
"","Trade Balance","4033"
"Trinidad and Tobago","Total Exports","3791"
"","Total Imports",""
"","Trade Balance","3791"
"Myanmar (Burma)","Total Exports","3594"
"","Total Imports",""
"","Trade Balance","3594"
"South Sudan","Total Exports","3500"
"","Total Imports",""
"","Trade Balance","3500"
"Ecuador","Total Exports","3500"
"","Total Imports",""
"","Trade Balance","3500"
"U.S. Minor Outlying Islands","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Estonia","Total Exports","2069"
"","Total Imports",""
"","Trade Balance","2069"
"Saint Lucia","Total Exports","2000"
"","Total Imports",""
"","Trade Balance","2000"
"French Polynesia","Total Exports","1894"
"","Total Imports",""
"","Trade Balance","1894"
"Iceland","Total Exports","1088"
"","Total Imports",""
"","Trade Balance","1088"
"Uruguay","Total Exports",""
"","Total Imports","68"
"","Trade Balance","-68"
"New Caledonia","Total Exports",""
"","Total Imports","175"
"","Trade Balance","-175"
"Honduras","Total Exports",""
"","Total Imports","241"
"","Trade Balance","-241"
"Venezuela","Total Exports",""
"","Total Imports","1916"
"","Trade Balance","-1916"
"Bulgaria","Total Exports",""
"","Total Imports","2023"
"","Trade Balance","-2023"
"Belize","Total Exports",""
"","Total Imports","6004"
"","Trade Balance","-6004"
"Israel","Total Exports",""
"","Total Imports","6384"
"","Trade Balance","-6384"
"Argentina","Total Exports","31690"
"","Total Imports","41662"
"","Trade Balance","-9972"
"Croatia","Total Exports",""
"","Total Imports","11750"
"","Trade Balance","-11750"
"Ireland","Total Exports","3528"
"","Total Imports","15397"
"","Trade Balance","-11869"
"Taiwan","Total Exports",""
"","Total Imports","42124"
"","Trade Balance","-42124"
"Denmark","Total Exports",""
"","Total Imports","44126"
"","Trade Balance","-44126"
"Barbados","Total Exports",""
"","Total Imports","48212"
"","Trade Balance","-48212"
"British Virgin Islands","Total Exports",""
"","Total Imports","59667"
"","Trade Balance","-59667"
"United Arab Emirates","Total Exports","60321"
"","Total Imports","121095"
"","Trade Balance","-60774"
"Singapore","Total Exports","3436"
"","Total Imports","68238"
"","Trade Balance","-64802"
"Portugal","Total Exports",""
"","Total Imports","154549"
"","Trade Balance","-154549"
"Philippines","Total Exports","95802"
"","Total Imports","252169"
"","Trade Balance","-156367"
"Seychelles","Total Exports",""
"","Total Imports","190539"
"","Trade Balance","-190539"
"Finland","Total Exports",""
"","Total Imports","196631"
"","Trade Balance","-196631"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","242294"
"","Trade Balance","-242294"
"Vietnam","Total Exports","3173"
"","Total Imports","358600"
"","Trade Balance","-355427"
"Iran","Total Exports",""
"","Total Imports","410152"
"","Trade Balance","-410152"
"Switzerland","Total Exports",""
"","Total Imports","445683"
"","Trade Balance","-445683"
"Australia","Total Exports","677889"
"","Total Imports","1172939"
"","Trade Balance","-495050"
"Belgium","Total Exports","339059"
"","Total Imports","907546"
"","Trade Balance","-568487"
"Bahrain","Total Exports","14799"
"","Total Imports","643737"
"","Trade Balance","-628938"
"Netherlands","Total Exports","82417"
"","Total Imports","726628"
"","Trade Balance","-644211"
"Brazil","Total Exports","107391"
"","Total Imports","821936"
"","Trade Balance","-714545"
"Romania","Total Exports",""
"","Total Imports","823376"
"","Trade Balance","-823376"
"South Africa","Total Exports","269202"
"","Total Imports","1173354"
"","Trade Balance","-904152"
"Hungary","Total Exports",""
"","Total Imports","1555113"
"","Trade Balance","-1555113"
"Slovenia","Total Exports","3201"
"","Total Imports","1640551"
"","Trade Balance","-1637350"
"Russia","Total Exports","246883"
"","Total Imports","2777904"
"","Trade Balance","-2531021"
"Ukraine","Total Exports",""
"","Total Imports","2667954"
"","Trade Balance","-2667954"
"Austria","Total Exports",""
"","Total Imports","2708264"
"","Trade Balance","-2708264"
"Spain","Total Exports","294851"
"","Total Imports","3221391"
"","Trade Balance","-2926540"
"Hong Kong","Total Exports","45398"
"","Total Imports","3149778"
"","Trade Balance","-3104380"
"Japan","Total Exports","842362"
"","Total Imports","4297578"
"","Trade Balance","-3455216"
"Czech Republic","Total Exports","33854"
"","Total Imports","3553150"
"","Trade Balance","-3519296"
"Sweden","Total Exports","16011"
"","Total Imports","5255813"
"","Trade Balance","-5239802"
"Indonesia","Total Exports","8544202"
