"Title","Canadian trade balances"
"Products","Hs 71 - natural/cultured pearls, prec stones & metals, coin etc"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"HS 71 - Natural/cultured pearls, prec stones & metals, coin etc"
"Ontario","Total Exports","7561103143"
"","Total Imports","4684876669"
"","Trade Balance","2876226474"
"Northwest Territories","Total Exports","1831296324"
"","Total Imports",""
"","Trade Balance","1831296324"
"Manitoba","Total Exports","56589077"
"","Total Imports","32224561"
"","Trade Balance","24364516"
"New Brunswick","Total Exports","11167870"
"","Total Imports","720495"
"","Trade Balance","10447375"
"Saskatchewan","Total Exports","1262488"
"","Total Imports","653786"
"","Trade Balance","608702"
"Yukon Territory","Total Exports","608258"
"","Total Imports","76"
"","Trade Balance","608182"
"Prince Edward Island","Total Exports","114032"
"","Total Imports","3163"
"","Trade Balance","110869"
"Newfoundland and Labrador","Total Exports","54563"
"","Total Imports","23160"
"","Trade Balance","31403"
"Nunavut","Total Exports","3982"
"","Total Imports",""
"","Trade Balance","3982"
"Nova Scotia","Total Exports","418002"
"","Total Imports","563266"
"","Trade Balance","-145264"
"Alberta","Total Exports","53192181"
"","Total Imports","90310208"
"","Trade Balance","-37118027"
"British Columbia","Total Exports","85178259"
"","Total Imports","204521481"
"","Trade Balance","-119343222"
"Quebec","Total Exports","534130896"
"","Total Imports","1825580481"
"","Trade Balance","-1291449585"

"Source: Trade Data Online (accessed: March 14, 2025)"



