"Title","Canadian trade balances"
"Products","Hs 59 - impregnated, coated, cover/laminated textile fabric etc"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"HS 59 - Impregnated, coated, cover/laminated textile fabric etc"
"Ontario","Total Exports","392286122"
"","Total Imports","289616910"
"","Trade Balance","102669212"
"Quebec","Total Exports","135094320"
"","Total Imports","100772682"
"","Trade Balance","34321638"
"Nova Scotia","Total Exports","29468267"
"","Total Imports","6231601"
"","Trade Balance","23236666"
"Prince Edward Island","Total Exports","1274685"
"","Total Imports","15165"
"","Trade Balance","1259520"
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Northwest Territories","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Yukon Territory","Total Exports",""
"","Total Imports","2"
"","Trade Balance","-2"
"Newfoundland and Labrador","Total Exports","1"
"","Total Imports","185377"
"","Trade Balance","-185376"
"New Brunswick","Total Exports","91603"
"","Total Imports","3559974"
"","Trade Balance","-3468371"
"Saskatchewan","Total Exports","147648"
"","Total Imports","17330310"
"","Trade Balance","-17182662"
"Manitoba","Total Exports","439877"
"","Total Imports","20156740"
"","Trade Balance","-19716863"
"Alberta","Total Exports","3937869"
"","Total Imports","25737772"
"","Trade Balance","-21799903"
"British Columbia","Total Exports","2386662"
"","Total Imports","32642587"
"","Trade Balance","-30255925"

"Source: Trade Data Online (accessed: March 14, 2025)"



