"Title","Canadian trade balances"
"Products","Hs 86 - rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"HS 86 - Rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Australia","Total Exports","45760941"
"","Total Imports","1175580"
"","Trade Balance","44585361"
"Brazil","Total Exports","27452022"
"","Total Imports","216491"
"","Trade Balance","27235531"
"United Kingdom","Total Exports","26115396"
"","Total Imports","3475893"
"","Trade Balance","22639503"
"Venezuela","Total Exports","12098715"
"","Total Imports",""
"","Trade Balance","12098715"
"Cuba","Total Exports","3265837"
"","Total Imports",""
"","Trade Balance","3265837"
"Iran","Total Exports","2263739"
"","Total Imports",""
"","Trade Balance","2263739"
"Chile","Total Exports","1781471"
"","Total Imports",""
"","Trade Balance","1781471"
"Cameroon","Total Exports","1005752"
"","Total Imports","3160"
"","Trade Balance","1002592"
"Sudan","Total Exports","931865"
"","Total Imports",""
"","Trade Balance","931865"
"Côte-d'Ivoire","Total Exports","633464"
"","Total Imports",""
"","Trade Balance","633464"
"Senegal","Total Exports","588775"
"","Total Imports",""
"","Trade Balance","588775"
"Finland","Total Exports","544779"
"","Total Imports","501"
"","Trade Balance","544278"
"Tanzania","Total Exports","531915"
"","Total Imports",""
"","Trade Balance","531915"
"Kazakhstan","Total Exports","455577"
"","Total Imports",""
"","Trade Balance","455577"
"Peru","Total Exports","447879"
"","Total Imports","3363"
"","Trade Balance","444516"
"Mali","Total Exports","407745"
"","Total Imports",""
"","Trade Balance","407745"
"Congo (formerly Brazzaville)","Total Exports","377306"
"","Total Imports",""
"","Trade Balance","377306"
"Tunisia","Total Exports","352176"
"","Total Imports",""
"","Trade Balance","352176"
"Zambia (Zambi)","Total Exports","341576"
"","Total Imports",""
"","Trade Balance","341576"
"Ireland","Total Exports","368153"
"","Total Imports","30477"
"","Trade Balance","337676"
"Bangladesh","Total Exports","327884"
"","Total Imports",""
"","Trade Balance","327884"
"Zimbabwe","Total Exports","237200"
"","Total Imports",""
"","Trade Balance","237200"
"Saudi Arabia","Total Exports","204302"
"","Total Imports",""
"","Trade Balance","204302"
"Egypt","Total Exports","152704"
"","Total Imports",""
"","Trade Balance","152704"
"Jamaica","Total Exports","146023"
"","Total Imports",""
"","Trade Balance","146023"
"Gabon","Total Exports","139254"
"","Total Imports",""
"","Trade Balance","139254"
"Congo (formerly Zaire)","Total Exports","101933"
"","Total Imports",""
"","Trade Balance","101933"
"Bermuda","Total Exports","84027"
"","Total Imports",""
"","Trade Balance","84027"
"Comoros","Total Exports","79626"
"","Total Imports",""
"","Trade Balance","79626"
"Indonesia","Total Exports","88075"
"","Total Imports","9442"
"","Trade Balance","78633"
"Luxembourg","Total Exports","77672"
"","Total Imports",""
"","Trade Balance","77672"
"Jordan","Total Exports","61501"
"","Total Imports",""
"","Trade Balance","61501"
"Algeria","Total Exports","54335"
"","Total Imports",""
"","Trade Balance","54335"
"Dominican Republic","Total Exports","47734"
"","Total Imports",""
"","Trade Balance","47734"
"Norway","Total Exports","49000"
"","Total Imports","4080"
"","Trade Balance","44920"
"Pakistan","Total Exports","41594"
"","Total Imports",""
"","Trade Balance","41594"
"Trinidad and Tobago","Total Exports","41323"
"","Total Imports",""
"","Trade Balance","41323"
"Sri Lanka","Total Exports","38440"
"","Total Imports",""
"","Trade Balance","38440"
"Bolivia","Total Exports","37915"
"","Total Imports",""
"","Trade Balance","37915"
"Grenada","Total Exports","30144"
"","Total Imports",""
"","Trade Balance","30144"
"Benin","Total Exports","29539"
"","Total Imports",""
"","Trade Balance","29539"
"Greenland","Total Exports","28065"
"","Total Imports",""
"","Trade Balance","28065"
"Slovenia","Total Exports","25528"
"","Total Imports","424"
"","Trade Balance","25104"
"Philippines","Total Exports","26000"
"","Total Imports","1343"
"","Trade Balance","24657"
"United Arab Emirates","Total Exports","21838"
"","Total Imports",""
"","Trade Balance","21838"
"Nicaragua","Total Exports","21176"
"","Total Imports",""
"","Trade Balance","21176"
"Vietnam","Total Exports","20992"
"","Total Imports","27"
"","Trade Balance","20965"
"Yemen","Total Exports","17231"
"","Total Imports",""
"","Trade Balance","17231"
"Botswana","Total Exports","17116"
"","Total Imports",""
"","Trade Balance","17116"
"Morocco","Total Exports","16752"
"","Total Imports",""
"","Trade Balance","16752"
"Greece","Total Exports","14300"
"","Total Imports",""
"","Trade Balance","14300"
"Portugal","Total Exports","13679"
"","Total Imports",""
"","Trade Balance","13679"
"Singapore","Total Exports","13556"
