"Title","Canadian trade balances"
"Products","Hs 87 - vehicles, o/t railway or tramway rolling-stock,and parts and accessories thereof"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"HS 87 - Vehicles, o/t railway or tramway rolling-stock,and parts and accessories thereof"
"Saudi Arabia","Total Exports","1765819264"
"","Total Imports","12173"
"","Trade Balance","1765807091"
"United Arab Emirates","Total Exports","172973558"
"","Total Imports","684666"
"","Trade Balance","172288892"
"Nigeria","Total Exports","146698695"
"","Total Imports","560"
"","Trade Balance","146698135"
"Australia","Total Exports","143111991"
"","Total Imports","19445424"
"","Trade Balance","123666567"
"Senegal","Total Exports","92258423"
"","Total Imports","6569"
"","Trade Balance","92251854"
"Ghana","Total Exports","82509497"
"","Total Imports","413"
"","Trade Balance","82509084"
"Lebanon","Total Exports","81317579"
"","Total Imports","174764"
"","Trade Balance","81142815"
"Israel","Total Exports","74625584"
"","Total Imports","2470483"
"","Trade Balance","72155101"
"Côte-d'Ivoire","Total Exports","56365509"
"","Total Imports","2862"
"","Trade Balance","56362647"
"Albania","Total Exports","54785213"
"","Total Imports","53466"
"","Trade Balance","54731747"
"Libya","Total Exports","40259139"
"","Total Imports",""
"","Trade Balance","40259139"
"Philippines","Total Exports","39663060"
"","Total Imports","11092094"
"","Trade Balance","28570966"
"Lithuania","Total Exports","27899038"
"","Total Imports","172599"
"","Trade Balance","27726439"
"Jordan","Total Exports","27784994"
"","Total Imports","903939"
"","Trade Balance","26881055"
"Bulgaria","Total Exports","27038297"
"","Total Imports","1479101"
"","Trade Balance","25559196"
"Benin","Total Exports","25094561"
"","Total Imports","317"
"","Trade Balance","25094244"
"Guinea","Total Exports","24994402"
"","Total Imports","11104"
"","Trade Balance","24983298"
"Iraq","Total Exports","23932511"
"","Total Imports",""
"","Trade Balance","23932511"
"Singapore","Total Exports","27036282"
"","Total Imports","3127723"
"","Trade Balance","23908559"
"New Zealand","Total Exports","24987898"
"","Total Imports","1258918"
"","Trade Balance","23728980"
"Chile","Total Exports","21165197"
"","Total Imports","1407504"
