"Title","Canadian trade balances"
"Products","Hs 87 - vehicles, o/t railway or tramway rolling-stock,and parts and accessories thereof"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"HS 87 - Vehicles, o/t railway or tramway rolling-stock,and parts and accessories thereof"
"United States","Total Exports","84614720193"
"","Total Imports","48995518899"
"","Trade Balance","35619201294"
"China","Total Exports","424095326"
"","Total Imports","176635446"
"","Trade Balance","247459880"
"Venezuela","Total Exports","150603964"
"","Total Imports","3488856"
"","Trade Balance","147115108"
"Indonesia","Total Exports","49513174"
"","Total Imports","6803495"
"","Trade Balance","42709679"
"Australia","Total Exports","54971889"
"","Total Imports","23311501"
"","Trade Balance","31660388"
"Saudi Arabia","Total Exports","31244403"
"","Total Imports","36509"
"","Trade Balance","31207894"
"Cuba","Total Exports","25818897"
"","Total Imports",""
"","Trade Balance","25818897"
"Austria","Total Exports","41180405"
"","Total Imports","21183857"
"","Trade Balance","19996548"
"Chile","Total Exports","19954788"
"","Total Imports","432137"
"","Trade Balance","19522651"
"Israel","Total Exports","20765207"
"","Total Imports","4026445"
"","Trade Balance","16738762"
"Russia","Total Exports","15534734"
"","Total Imports","2695536"
"","Trade Balance","12839198"
"Colombia","Total Exports","12267968"
"","Total Imports","22744"
"","Trade Balance","12245224"
"Norway","Total Exports","11371734"
"","Total Imports","1892856"
"","Trade Balance","9478878"
"Nigeria","Total Exports","8348914"
"","Total Imports",""
"","Trade Balance","8348914"
"Greece","Total Exports","6038703"
"","Total Imports","56928"
"","Trade Balance","5981775"
"Kuwait","Total Exports","5205700"
"","Total Imports",""
"","Trade Balance","5205700"
"Iceland","Total Exports","5179606"
"","Total Imports","7264"
"","Trade Balance","5172342"
"United Arab Emirates","Total Exports","5051644"
"","Total Imports",""
"","Trade Balance","5051644"
"Panama","Total Exports","4374690"
"","Total Imports","496"
"","Trade Balance","4374194"
"Hong Kong","Total Exports","8153992"
"","Total Imports","3993582"
"","Trade Balance","4160410"
"Denmark","Total Exports","7525752"
"","Total Imports","3429540"
"","Trade Balance","4096212"
"Peru","Total Exports","3671244"
"","Total Imports","6646"
"","Trade Balance","3664598"
"Ecuador","Total Exports","3655465"
"","Total Imports","15458"
"","Trade Balance","3640007"
"Latvia","Total Exports","3227219"
"","Total Imports",""
"","Trade Balance","3227219"
"New Zealand","Total Exports","3563839"
"","Total Imports","666383"
"","Trade Balance","2897456"
"Lebanon","Total Exports","2850070"
"","Total Imports","435"
"","Trade Balance","2849635"
"Philippines","Total Exports","5915635"
"","Total Imports","3141172"
"","Trade Balance","2774463"
"Argentina","Total Exports","4716198"
"","Total Imports","2124237"
"","Trade Balance","2591961"
"Poland","Total Exports","3891703"
"","Total Imports","1372204"
"","Trade Balance","2519499"
"Gabon","Total Exports","2353363"
"","Total Imports","370"
"","Trade Balance","2352993"
"Ukraine","Total Exports","2459904"
"","Total Imports","135187"
"","Trade Balance","2324717"
"Türkiye","Total Exports","5492534"
"","Total Imports","3220824"
"","Trade Balance","2271710"
"Bahrain","Total Exports","2122951"
"","Total Imports","2164"
"","Trade Balance","2120787"
"Tanzania","Total Exports","2103620"
"","Total Imports",""
"","Trade Balance","2103620"
"Yemen","Total Exports","2091588"
"","Total Imports","792"
"","Trade Balance","2090796"
"Ireland","Total Exports","2256112"
"","Total Imports","224845"
"","Trade Balance","2031267"
"Ghana","Total Exports","1854040"
"","Total Imports",""
"","Trade Balance","1854040"
"Dominican Republic","Total Exports","1826633"
"","Total Imports","66"
"","Trade Balance","1826567"
"Trinidad and Tobago","Total Exports","1776233"
"","Total Imports","17229"
"","Trade Balance","1759004"
"Jordan","Total Exports","1372326"
"","Total Imports","11726"
"","Trade Balance","1360600"
"Saint Pierre-Miquelon","Total Exports","1209770"
"","Total Imports",""
"","Trade Balance","1209770"
"Oman (formerly Muscat and Oman)","Total Exports","1115578"
"","Total Imports",""
"","Trade Balance","1115578"
"Benin","Total Exports","1005687"
"","Total Imports",""
"","Trade Balance","1005687"
"Zambia (Zambi)","Total Exports","934082"
"","Total Imports",""
"","Trade Balance","934082"
"Guam","Total Exports","773755"
"","Total Imports","2614"
"","Trade Balance","771141"
"Jamaica","Total Exports","766893"
"","Total Imports",""
"","Trade Balance","766893"
"Guatemala","Total Exports","628263"
"","Total Imports","2353"
"","Trade Balance","625910"
"Qatar","Total Exports","617679"
"","Total Imports",""
"","Trade Balance","617679"
"Bolivia","Total Exports","607407"
"","Total Imports",""
"","Trade Balance","607407"
"Barbados","Total Exports","528951"
"","Total Imports",""
"","Trade Balance","528951"
"Tunisia","Total Exports","485199"
"","Total Imports","16799"
"","Trade Balance","468400"
"Haiti","Total Exports","458375"
"","Total Imports",""
"","Trade Balance","458375"
"Niger","Total Exports","421422"
"","Total Imports","15132"
"","Trade Balance","406290"
"Luxembourg","Total Exports","609164"
"","Total Imports","225236"
"","Trade Balance","383928"
"Cameroon","Total Exports","323250"
"","Total Imports","1982"
"","Trade Balance","321268"
"Nicaragua","Total Exports","313470"
"","Total Imports",""
"","Trade Balance","313470"
"Costa Rica","Total Exports","303226"
"","Total Imports","1228"
"","Trade Balance","301998"
"Kyrgyzstan","Total Exports","299434"
"","Total Imports",""
"","Trade Balance","299434"
"Uruguay","Total Exports","282060"
"","Total Imports","3092"
"","Trade Balance","278968"
"Bermuda","Total Exports","267112"
"","Total Imports",""
"","Trade Balance","267112"
