sec,code
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",54 Man-made filaments
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",55 Man-made staple fibres
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","56 Wadding,felt and nonwovens; special yarns;twine,cordage,ropes,cables,art thereof"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",57 Carpets and other textile floor coverings
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",58 Special woven fab; tufted tex fab; lace; tapestries etc
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","59 Impregnated, coated, cover/laminated textile fabric etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",60 Knitted or crocheted fabrics
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","61 Articles of apparel and clothing accessories, knitted or crocheted"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","62 Articles of apparel and clothing accessories, not knitted or crocheted"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",63 Other made up textile articles;sets;worn clothing & worn textile articles;rags
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","64 Footwear, gaiters and the like; parts of such articles"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",65 Headgear and parts thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","66 Umbrellas,sun umbrellas,walking-sticks,seat-sticks,whips,riding-crops,parts t/o"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","67 Prepr feathers & down,art made of feathers/down; arti flowers; art of human hair"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","68 Articles of stone, plaster, cement, asbestos, mica or similar materials"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",69 Ceramic products
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",70 Glass and glassware
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","71 Natural/cultured pearls, prec stones & metals, coin etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",72 Iron and steel
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",73 Articles of iron or steel
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",74 Copper and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",75 Nickel and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",76 Aluminium and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",78 Lead and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",79 Zinc and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",80 Tin and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",81 Other base metals; cermets; articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","82 Tools,implements,cutlery,spoons,forks,of base metal; parts thereof of base metal"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",83 Miscellaneous articles of base metal
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","84 Nuclear reactors, boilers, mchy & mech appliances; parts"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",85 Electrical mchy equip parts thereof; sound recorder etc
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","86 Rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","87 Vehicles, o/t railway or tramway rolling-stock,and parts and accessories thereof"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","88 Aircraft, spacecraft, and parts thereof"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","89 Ships, boats and floating structures"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","90 Optical, photo, cine, meas, checking, precision, etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","91 Clocks and watches, parts thereof"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",92 Musical instruments; parts and accessories of such articles
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",93 Arms and ammunition; parts and accessories thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","94 Furniture; bedding, mattress, matt support, cushion, etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","95 Toys, games & sports requisites; parts & access thereof"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",96 Miscellaneous manufactured articles
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","97 Works of art, collectors' pieces and antiques"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",98 Special classification provisions - non commercial
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",99 Special classification provisions - commercial
