"Title","Canadian trade balances"
"Products","Hs 84 - nuclear reactors, boilers, mchy & mech appliances; parts"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"HS 84 - Nuclear reactors, boilers, mchy & mech appliances; parts"
"Australia","Total Exports","542306846"
"","Total Imports","99788173"
"","Trade Balance","442518673"
"Singapore","Total Exports","551542895"
"","Total Imports","200680601"
"","Trade Balance","350862294"
"Russia","Total Exports","237806710"
"","Total Imports","18623669"
"","Trade Balance","219183041"
"United Arab Emirates","Total Exports","168621268"
"","Total Imports","13921677"
"","Trade Balance","154699591"
"Chile","Total Exports","158265079"
"","Total Imports","10590695"
"","Trade Balance","147674384"
"Saudi Arabia","Total Exports","110130483"
"","Total Imports","264327"
"","Trade Balance","109866156"
"Peru","Total Exports","97713102"
"","Total Imports","5594951"
"","Trade Balance","92118151"
"Hong Kong","Total Exports","114351461"
"","Total Imports","27342591"
"","Trade Balance","87008870"
"Kazakhstan","Total Exports","79704227"
"","Total Imports","118450"
"","Trade Balance","79585777"
"Colombia","Total Exports","80520853"
"","Total Imports","1999517"
"","Trade Balance","78521336"
"Argentina","Total Exports","90375377"
"","Total Imports","15333772"
"","Trade Balance","75041605"
"Cuba","Total Exports","64463990"
"","Total Imports","3791"
"","Trade Balance","64460199"
"Oman (formerly Muscat and Oman)","Total Exports","63806233"
"","Total Imports","19691"
"","Trade Balance","63786542"
"South Africa","Total Exports","100430334"
"","Total Imports","56643891"
"","Trade Balance","43786443"
"Bahrain","Total Exports","40947930"
"","Total Imports","165146"
"","Trade Balance","40782784"
"Algeria","Total Exports","35834059"
"","Total Imports","56124"
"","Trade Balance","35777935"
"Pakistan","Total Exports","36284113"
"","Total Imports","871168"
"","Trade Balance","35412945"
"Lithuania","Total Exports","38724434"
"","Total Imports","4872217"
"","Trade Balance","33852217"
"Nigeria","Total Exports","31466753"
"","Total Imports","81727"
"","Trade Balance","31385026"
"Egypt","Total Exports","31418191"
"","Total Imports","160740"
"","Trade Balance","31257451"
"Ecuador","Total Exports","31037754"
"","Total Imports","414415"
"","Trade Balance","30623339"
"Qatar","Total Exports","30602985"
"","Total Imports","65888"
"","Trade Balance","30537097"
"Luxembourg","Total Exports","40316731"
"","Total Imports","10296894"
"","Trade Balance","30019837"
"Dominican Republic","Total Exports","24030851"
"","Total Imports","961333"
"","Trade Balance","23069518"
"Kuwait","Total Exports","22961704"
"","Total Imports","26538"
"","Trade Balance","22935166"
"Venezuela","Total Exports","21894738"
"","Total Imports","102800"
"","Trade Balance","21791938"
"Ghana","Total Exports","21794099"
"","Total Imports","22502"
"","Trade Balance","21771597"
"New Zealand","Total Exports","109515685"
"","Total Imports","88605862"
"","Trade Balance","20909823"
"Iraq","Total Exports","19651687"
"","Total Imports","2573"
"","Trade Balance","19649114"
"Trinidad and Tobago","Total Exports","20179385"
"","Total Imports","1236718"
"","Trade Balance","18942667"
"Greenland","Total Exports","16992128"
"","Total Imports",""
"","Trade Balance","16992128"
"Turkmenistan","Total Exports","16446971"
"","Total Imports","74"
"","Trade Balance","16446897"
"Mongolia","Total Exports","15835104"
"","Total Imports","815"
"","Trade Balance","15834289"
"Panama","Total Exports","16227026"
"","Total Imports","612811"
"","Trade Balance","15614215"
"Morocco","Total Exports","16919208"
"","Total Imports","1968354"
"","Trade Balance","14950854"
"Suriname","Total Exports","13907766"
"","Total Imports","29849"
"","Trade Balance","13877917"
"Burkina Faso","Total Exports","13625062"
"","Total Imports","3594"
"","Trade Balance","13621468"
"Kenya","Total Exports","12305539"
"","Total Imports","96328"
"","Trade Balance","12209211"
"Uruguay","Total Exports","11423248"
"","Total Imports","84632"
"","Trade Balance","11338616"
"Tanzania","Total Exports","10725485"
"","Total Imports","93905"
"","Trade Balance","10631580"
"Ethiopia","Total Exports","10500632"
"","Total Imports","81958"
"","Trade Balance","10418674"
"Jordan","Total Exports","10658558"
"","Total Imports","545619"
"","Trade Balance","10112939"
"Mali","Total Exports","10175797"
"","Total Imports","71937"
"","Trade Balance","10103860"
"Paraguay","Total Exports","10116915"
"","Total Imports","33420"
"","Trade Balance","10083495"
"Zambia (Zambi)","Total Exports","9795232"
"","Total Imports","1246"
"","Trade Balance","9793986"
"Honduras","Total Exports","9745672"
"","Total Imports","126359"
"","Trade Balance","9619313"
"Ukraine","Total Exports","19891061"
"","Total Imports","10418134"
"","Trade Balance","9472927"
"Albania","Total Exports","9390763"
"","Total Imports","51075"
"","Trade Balance","9339688"
"Bolivia","Total Exports","9512133"
"","Total Imports","428535"
"","Trade Balance","9083598"
"Guatemala","Total Exports","9126616"
"","Total Imports","54366"
"","Trade Balance","9072250"
"Jamaica","Total Exports","9013964"
"","Total Imports","20902"
"","Trade Balance","8993062"
"Guyana","Total Exports","8987458"
"","Total Imports","191927"
"","Trade Balance","8795531"
"Côte-d'Ivoire","Total Exports","8702765"
"","Total Imports","28688"
"","Trade Balance","8674077"
"Costa Rica","Total Exports","11085007"
"","Total Imports","2729102"
"","Trade Balance","8355905"
"Madagascar","Total Exports","8302403"
"","Total Imports","19834"
"","Trade Balance","8282569"
"Uganda","Total Exports","7579909"
"","Total Imports","33168"
"","Trade Balance","7546741"
"Aruba","Total Exports","7474331"
"","Total Imports","25827"
"","Trade Balance","7448504"
"Botswana","Total Exports","6869709"
"","Total Imports","523"
"","Trade Balance","6869186"
"Iran","Total Exports","8918000"
"","Total Imports","2067977"
"","Trade Balance","6850023"
"Bangladesh","Total Exports","6885067"
"","Total Imports","58398"
"","Trade Balance","6826669"
"Maldives","Total Exports","6753540"
"","Total Imports","29617"
"","Trade Balance","6723923"
"Congo (formerly Brazzaville)","Total Exports","6331157"
"","Total Imports","34741"
"","Trade Balance","6296416"
"Mauritania","Total Exports","6174329"
"","Total Imports","13884"
"","Trade Balance","6160445"
"Kyrgyzstan","Total Exports","5956545"
"","Total Imports","52563"
"","Trade Balance","5903982"
"Libya","Total Exports","5167116"
"","Total Imports",""
"","Trade Balance","5167116"
"Antigua and Barbuda","Total Exports","4986228"
"","Total Imports","18233"
"","Trade Balance","4967995"
"Nepal","Total Exports","4995996"
