"Title","Canadian trade balances"
"Products","Hs 71 - natural/cultured pearls, prec stones & metals, coin etc"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"HS 71 - Natural/cultured pearls, prec stones & metals, coin etc"
"Ontario","Total Exports","3211735494"
"","Total Imports","1764120767"
"","Trade Balance","1447614727"
"Manitoba","Total Exports","904527719"
"","Total Imports","94120235"
"","Trade Balance","810407484"
"Northwest Territories","Total Exports","655013011"
"","Total Imports",""
"","Trade Balance","655013011"
"Quebec","Total Exports","417672787"
"","Total Imports","324003548"
"","Trade Balance","93669239"
"British Columbia","Total Exports","109430650"
"","Total Imports","100596943"
"","Trade Balance","8833707"
"Yukon Territory","Total Exports","2318776"
"","Total Imports","12671"
"","Trade Balance","2306105"
"New Brunswick","Total Exports","1883034"
"","Total Imports","410118"
"","Trade Balance","1472916"
"Nova Scotia","Total Exports","274339"
"","Total Imports","228845"
"","Trade Balance","45494"
"Prince Edward Island","Total Exports","12770"
"","Total Imports","7004"
"","Trade Balance","5766"
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Newfoundland and Labrador","Total Exports","5235"
"","Total Imports","6234"
"","Trade Balance","-999"
"Saskatchewan","Total Exports","324810"
"","Total Imports","3834376"
"","Trade Balance","-3509566"
"Alberta","Total Exports","15781927"
"","Total Imports","33933563"
"","Trade Balance","-18151636"
"Total All Countries","Total Exports","5318980552"
"","Total Imports","2321274304"
"","Trade Balance","2997706248"

"Source: Trade Data Online (accessed: March 14, 2025)"



