"Title","Canadian trade balances"
"Products","Hs 09 - coffee, tea, maté and spices"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"HS 09 - Coffee, tea, maté and spices"
"Saskatchewan","Total Exports","7108216"
"","Total Imports","5981237"
"","Trade Balance","1126979"
"Yukon Territory","Total Exports","156"
"","Total Imports","51"
"","Trade Balance","105"
"Prince Edward Island","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Northwest Territories","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Newfoundland and Labrador","Total Exports","1596"
"","Total Imports","496206"
"","Trade Balance","-494610"
"New Brunswick","Total Exports","49937"
"","Total Imports","2026243"
"","Trade Balance","-1976306"
"Manitoba","Total Exports","113223"
"","Total Imports","5133061"
"","Trade Balance","-5019838"
"Nova Scotia","Total Exports","32401"
"","Total Imports","5186216"
"","Trade Balance","-5153815"
"Alberta","Total Exports","534100"
"","Total Imports","45430182"
"","Trade Balance","-44896082"
"Quebec","Total Exports","91051187"
"","Total Imports","228901566"
"","Trade Balance","-137850379"
"British Columbia","Total Exports","42121785"
"","Total Imports","250024805"
"","Trade Balance","-207903020"
"Ontario","Total Exports","395311276"
"","Total Imports","1022280647"
"","Trade Balance","-626969371"

"Source: Trade Data Online (accessed: March 14, 2025)"



