"Title","Canadian trade balances"
"Products","Hs 09 - coffee, tea, maté and spices"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2008"
"Units","Value in  canadian dollars"

"","","2008"
"HS 09 - Coffee, tea, maté and spices"
"Saskatchewan","Total Exports","10612466"
"","Total Imports","1496557"
"","Trade Balance","9115909"
"Newfoundland and Labrador","Total Exports","15721"
"","Total Imports","368"
"","Trade Balance","15353"
"Yukon Territory","Total Exports","26"
"","Total Imports",""
"","Trade Balance","26"
"Northwest Territories","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Prince Edward Island","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"New Brunswick","Total Exports","1084"
"","Total Imports","888924"
"","Trade Balance","-887840"
"Alberta","Total Exports","1148752"
"","Total Imports","6571166"
"","Trade Balance","-5422414"
"Manitoba","Total Exports","1430399"
"","Total Imports","8217762"
"","Trade Balance","-6787363"
"Nova Scotia","Total Exports","38769"
"","Total Imports","11629322"
"","Trade Balance","-11590553"
"Quebec","Total Exports","26401681"
"","Total Imports","142427824"
"","Trade Balance","-116026143"
"British Columbia","Total Exports","34824431"
"","Total Imports","214553699"
"","Trade Balance","-179729268"
"Ontario","Total Exports","183705036"
"","Total Imports","726422809"
"","Trade Balance","-542717773"

"Source: Trade Data Online (accessed: March 14, 2025)"



