"Title","Canadian trade balances"
"Products","Hs 86 - rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"HS 86 - Rlwy/tram locom,rolling-stock & pts;track fxts,fit & pts;mech traffic sgnl equip"
"Brazil","Total Exports","10178579"
"","Total Imports","819785"
"","Trade Balance","9358794"
"Egypt","Total Exports","4292329"
"","Total Imports","114"
"","Trade Balance","4292215"
"Türkiye","Total Exports","3457871"
"","Total Imports","1541960"
"","Trade Balance","1915911"
"Iraq","Total Exports","1856887"
"","Total Imports",""
"","Trade Balance","1856887"
"Cuba","Total Exports","1223224"
"","Total Imports",""
"","Trade Balance","1223224"
"Tunisia","Total Exports","964094"
"","Total Imports",""
"","Trade Balance","964094"
"Gabon","Total Exports","960946"
"","Total Imports",""
"","Trade Balance","960946"
"Thailand","Total Exports","948912"
"","Total Imports","92887"
"","Trade Balance","856025"
"Bangladesh","Total Exports","842406"
"","Total Imports",""
"","Trade Balance","842406"
"Tanzania","Total Exports","789441"
"","Total Imports",""
"","Trade Balance","789441"
"Russia","Total Exports","772852"
"","Total Imports",""
"","Trade Balance","772852"
"Sri Lanka","Total Exports","661158"
"","Total Imports",""
"","Trade Balance","661158"
"Norway","Total Exports","949685"
"","Total Imports","303738"
"","Trade Balance","645947"
"Chile","Total Exports","637038"
"","Total Imports",""
"","Trade Balance","637038"
"Kenya","Total Exports","607650"
"","Total Imports","1624"
"","Trade Balance","606026"
"Peru","Total Exports","379141"
"","Total Imports",""
"","Trade Balance","379141"
"Malaysia","Total Exports","380114"
"","Total Imports","8007"
"","Trade Balance","372107"
"Ecuador","Total Exports","358994"
"","Total Imports","32624"
"","Trade Balance","326370"
"Saudi Arabia","Total Exports","302237"
"","Total Imports",""
"","Trade Balance","302237"
"Bulgaria","Total Exports","287317"
"","Total Imports",""
"","Trade Balance","287317"
"New Zealand","Total Exports","261839"
"","Total Imports",""
"","Trade Balance","261839"
"Bosnia and Herzegovina","Total Exports","231871"
"","Total Imports",""
"","Trade Balance","231871"
"Nigeria","Total Exports","158893"
"","Total Imports",""
"","Trade Balance","158893"
"Jamaica","Total Exports","156594"
"","Total Imports",""
"","Trade Balance","156594"
"Liberia","Total Exports","149327"
"","Total Imports",""
"","Trade Balance","149327"
"Congo (formerly Zaire)","Total Exports","143393"
"","Total Imports",""
"","Trade Balance","143393"
"Congo (formerly Brazzaville)","Total Exports","138341"
"","Total Imports",""
"","Trade Balance","138341"
"Bolivia","Total Exports","135813"
"","Total Imports",""
"","Trade Balance","135813"
"Pakistan","Total Exports","135661"
"","Total Imports",""
"","Trade Balance","135661"
"Colombia","Total Exports","126317"
